Latitude (decimal degrees):	51.503
Longitude (decimal degrees):	10.781
Elevation (m):	188
Radiation database:	PVGIS-SARAH3


Slope: 36 deg. (optimum)
Azimuth: -1 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230723:0710,208.74,198.82,8.06,32.27,18.9,2.76,0.0
20230723:0810,194.88,289.04,9.15,41.28,21.14,4.83,0.0
20230723:0910,439.45,282.54,12.58,49.37,22.58,5.72,0.0
20230723:1010,6.96,280.08,6.0,55.57,23.37,6.34,0.0
20230723:1110,70.09,375.22,8.86,58.51,22.8,6.0,0.0
20230723:1210,8.11,290.15,6.23,57.24,22.81,6.0,0.0
20230723:1310,1.13,236.08,4.99,52.2,22.26,6.14,0.0
20230723:1410,0.0,189.87,4.0,44.73,20.68,5.79,0.0
20230723:1510,0.0,152.8,3.22,36.01,19.58,4.34,0.0
20230723:1610,0.0,111.21,2.34,26.76,19.46,3.66,0.0
20230723:1710,3.82,101.34,2.32,17.47,19.58,3.66,0.0
20230723:1810,0.0,37.36,0.84,8.51,19.64,3.52,0.0
20230723:1910,0.0,0.0,0.0,0.0,20.72,3.79,0.0
20230723:2010,0.0,0.0,0.0,0.0,20.43,3.52,0.0
20230723:2110,0.0,0.0,0.0,0.0,19.99,4.0,0.0
20230723:2210,0.0,0.0,0.0,0.0,18.37,3.79,0.0
20230723:2310,0.0,0.0,0.0,0.0,17.5,3.45,0.0
20230724:0010,0.0,0.0,0.0,0.0,16.84,3.31,0.0
20230724:0110,0.0,0.0,0.0,0.0,16.72,3.17,0.0
20230724:0210,0.0,0.0,0.0,0.0,16.73,3.17,0.0
20230724:0310,0.0,0.0,0.0,0.0,16.74,2.97,0.0
20230724:0410,0.0,16.98,0.38,4.87,16.85,2.41,0.0
20230724:0510,0.0,47.92,1.01,13.6,17.28,2.07,0.0
20230724:0610,26.31,152.84,3.89,22.8,18.47,2.07,0.0
20230724:0710,142.87,220.01,7.24,32.11,20.08,3.1,0.0
20230724:0810,363.02,231.84,10.77,41.11,21.18,4.28,0.0
20230724:0910,133.67,347.41,9.22,49.19,22.78,5.03,0.0
20230724:1010,204.57,385.25,10.92,55.37,23.68,6.0,0.0
20230724:1110,256.47,397.04,11.85,58.31,23.86,6.14,0.0
20230724:1210,77.84,373.49,8.94,57.04,24.46,5.66,0.0
20230724:1310,20.39,300.56,6.63,52.02,24.02,5.24,0.0
20230724:1410,0.0,123.87,2.61,44.57,21.9,4.14,0.0
20230724:1510,348.23,167.23,9.97,35.85,22.4,4.0,0.0
20230724:1610,0.0,47.02,0.99,26.61,22.92,4.48,0.0
20230724:1710,0.0,34.36,0.72,17.32,20.5,4.41,0.0
20230724:1810,0.0,9.34,0.21,8.36,19.26,4.21,0.0
20230724:1910,0.0,0.0,0.0,0.0,17.89,3.66,0.0
20230724:2010,0.0,0.0,0.0,0.0,16.87,3.52,0.0
20230724:2110,0.0,0.0,0.0,0.0,16.34,3.72,0.0
20230724:2210,0.0,0.0,0.0,0.0,15.77,3.72,0.0
20230724:2310,0.0,0.0,0.0,0.0,15.33,3.59,0.0
20230725:0010,0.0,0.0,0.0,0.0,14.92,3.31,0.0
20230725:0110,0.0,0.0,0.0,0.0,14.88,3.17,0.0
20230725:0210,0.0,0.0,0.0,0.0,14.89,2.97,0.0
20230725:0310,0.0,0.0,0.0,0.0,14.6,2.83,0.0
20230725:0410,0.0,4.25,0.1,4.7,14.22,2.48,0.0
20230725:0510,9.9,79.21,2.61,13.43,14.11,2.21,0.0
20230725:0610,101.16,137.26,5.45,22.63,14.34,2.21,0.0
20230725:0710,141.46,222.0,7.24,31.95,15.5,1.79,0.0
20230725:0810,62.49,286.17,6.99,40.94,16.2,1.86,0.0
20230725:0910,280.59,337.18,11.15,49.01,16.73,1.93,0.0
20230725:1010,0.0,188.96,3.98,55.17,17.19,2.34,0.0
20230725:1110,0.0,136.52,2.88,58.09,16.99,2.55,0.0
20230725:1210,27.95,334.22,7.43,56.83,16.66,2.62,0.0
20230725:1310,0.0,221.51,4.67,51.83,16.61,2.9,0.0
20230725:1410,0.0,173.59,3.66,44.4,16.22,2.55,0.0
20230725:1510,52.17,250.33,6.19,35.69,15.59,2.0,0.0
20230725:1610,7.26,156.57,3.47,26.45,15.39,1.52,0.0
20230725:1710,37.98,96.99,3.93,17.16,15.69,2.0,0.0
20230725:1810,0.0,7.64,0.17,8.19,15.16,2.34,0.0
20230725:1910,0.0,0.0,0.0,0.0,15.38,2.34,0.0
20230725:2010,0.0,0.0,0.0,0.0,14.84,2.21,0.0
20230725:2110,0.0,0.0,0.0,0.0,14.26,2.21,0.0
20230725:2210,0.0,0.0,0.0,0.0,13.98,2.28,0.0
20230725:2310,0.0,0.0,0.0,0.0,13.63,2.28,0.0
20230726:0010,0.0,0.0,0.0,0.0,13.23,2.34,0.0
20230726:0110,0.0,0.0,0.0,0.0,12.88,2.34,0.0
20230726:0210,0.0,0.0,0.0,0.0,12.27,2.41,0.0
20230726:0310,0.0,0.0,0.0,0.0,11.61,2.48,0.0
20230726:0410,0.0,22.93,0.51,4.52,11.26,2.55,0.0
20230726:0510,12.17,75.83,2.76,13.27,11.7,2.34,0.0
20230726:0610,25.02,153.81,3.87,22.47,13.02,3.1,0.0
20230726:0710,45.71,224.3,5.55,31.78,14.22,3.38,0.0
20230726:0810,0.0,160.94,3.39,40.77,15.32,3.45,0.0
20230726:0910,331.53,327.63,11.7,48.82,16.28,3.38,0.0
20230726:1010,288.62,382.23,12.01,54.97,17.12,3.45,0.0
20230726:1110,441.44,363.51,13.8,57.88,17.9,3.52,0.0
20230726:1210,717.07,230.89,15.66,56.62,18.41,3.66,0.0
20230726:1310,403.24,325.81,12.77,51.64,18.93,3.86,0.0
20230726:1410,114.94,321.4,8.52,44.23,18.75,3.79,0.0
20230726:1510,73.1,256.8,6.69,35.53,18.36,3.45,0.0
20230726:1610,2.43,140.19,3.01,26.29,18.36,3.38,0.0
20230726:1710,0.0,74.14,1.56,17.0,17.08,3.72,0.0
20230726:1810,0.0,45.86,1.03,8.02,16.24,3.17,0.0
20230726:1910,0.0,0.0,0.0,0.0,15.42,2.41,0.0
20230726:2010,0.0,0.0,0.0,0.0,15.01,2.28,0.0
20230726:2110,0.0,0.0,0.0,0.0,14.53,2.62,0.0
20230726:2210,0.0,0.0,0.0,0.0,13.86,2.76,0.0
20230726:2310,0.0,0.0,0.0,0.0,13.37,2.41,0.0
20230727:0010,0.0,0.0,0.0,0.0,12.75,2.14,0.0
20230727:0110,0.0,0.0,0.0,0.0,12.0,1.93,0.0
20230727:0210,0.0,0.0,0.0,0.0,11.28,1.79,0.0
20230727:0310,0.0,0.0,0.0,0.0,10.92,1.79,0.0
20230727:0410,0.0,11.89,0.27,4.34,11.28,1.86,0.0
20230727:0510,0.0,30.74,0.65,13.09,12.93,1.93,0.0
20230727:0610,0.0,72.33,1.52,22.3,14.27,2.14,0.0
20230727:0710,0.0,129.29,2.73,31.61,14.79,2.9,0.0
20230727:0810,4.34,210.12,4.5,40.6,15.36,3.31,0.0
20230727:0910,0.0,125.68,2.65,48.63,15.22,2.97,0.0
20230727:1010,0.0,136.52,2.88,54.76,15.17,2.9,0.0
20230727:1110,0.0,113.92,2.4,57.66,15.06,3.66,0.0
20230727:1210,0.0,135.62,2.86,56.41,15.21,4.69,0.0
20230727:1310,0.0,141.05,2.97,51.44,15.25,4.34,0.0
20230727:1410,0.0,170.88,3.6,44.05,15.3,4.28,0.0
20230727:1510,0.0,145.57,3.07,35.36,15.4,3.79,0.0
20230727:1610,0.0,108.5,2.29,26.12,15.75,3.31,0.0
20230727:1710,0.0,66.91,1.41,16.83,16.09,3.24,0.0
20230727:1810,0.0,19.53,0.44,7.85,16.4,3.72,0.0
20230727:1910,0.0,0.0,0.0,0.0,16.28,3.86,0.0
20230727:2010,0.0,0.0,0.0,0.0,16.44,4.21,0.0
20230727:2110,0.0,0.0,0.0,0.0,16.52,4.28,0.0
20230727:2210,0.0,0.0,0.0,0.0,16.62,4.14,0.0
20230727:2310,0.0,0.0,0.0,0.0,16.61,3.86,0.0
20230728:0010,0.0,0.0,0.0,0.0,16.58,3.79,0.0
20230728:0110,0.0,0.0,0.0,0.0,16.53,3.86,0.0
20230728:0210,0.0,0.0,0.0,0.0,16.43,4.07,0.0
20230728:0310,0.0,0.0,0.0,0.0,16.24,4.07,0.0
20230728:0410,0.0,2.55,0.06,4.16,16.05,3.93,0.0
20230728:0510,0.0,43.4,0.91,12.92,16.03,3.72,0.0
20230728:0610,4.59,123.9,2.73,22.13,16.14,3.79,0.0
20230728:0710,11.77,188.9,4.19,31.44,16.93,5.45,0.0
20230728:0810,6.53,215.75,4.65,40.42,18.22,5.31,0.0
20230728:0910,4.58,240.93,5.15,48.44,19.29,5.17,0.0
20230728:1010,370.16,354.57,12.6,54.54,19.78,4.97,0.0
20230728:1110,30.77,337.37,7.53,57.43,20.65,4.9,0.0
20230728:1210,147.97,388.7,10.18,56.19,21.8,4.28,0.0
20230728:1310,69.89,344.14,8.23,51.24,22.76,3.86,0.0
20230728:1410,46.93,293.55,6.9,43.86,22.89,3.59,0.0
20230728:1510,171.16,241.4,8.08,35.18,22.45,3.24,0.0
20230728:1610,174.8,135.45,6.88,25.95,21.95,3.24,0.0
20230728:1710,30.5,99.54,3.6,16.65,21.47,2.34,0.0
20230728:1810,0.0,40.76,0.91,7.67,20.85,1.66,0.0
20230728:1910,0.0,0.0,0.0,0.0,20.25,2.41,0.0
20230728:2010,0.0,0.0,0.0,0.0,19.24,2.34,0.0
20230728:2110,0.0,0.0,0.0,0.0,18.42,2.41,0.0
20230728:2210,0.0,0.0,0.0,0.0,18.04,2.48,0.0
20230728:2310,0.0,0.0,0.0,0.0,17.52,2.41,0.0
20230729:0010,0.0,0.0,0.0,0.0,17.1,2.21,0.0
20230729:0110,0.0,0.0,0.0,0.0,16.72,2.07,0.0
20230729:0210,0.0,0.0,0.0,0.0,16.46,2.07,0.0
20230729:0310,0.0,0.0,0.0,0.0,16.39,2.07,0.0
20230729:0410,0.0,5.94,0.13,3.98,16.61,2.07,0.0
20230729:0510,0.0,18.08,0.38,12.74,17.02,1.93,0.0
20230729:0610,0.0,45.21,0.95,21.96,17.41,2.0,0.0
20230729:0710,7.88,179.57,3.93,31.27,17.55,2.97,0.0
20230729:0810,0.0,138.33,2.92,40.23,17.9,3.59,0.0
20230729:0910,0.0,174.5,3.68,48.24,18.6,2.9,0.0
20230729:1010,4.71,265.38,5.66,54.33,18.8,3.59,0.0
20230729:1110,229.09,395.66,11.38,57.2,19.15,3.1,0.0
20230729:1210,180.19,389.28,10.61,55.96,20.38,3.72,0.0
20230729:1310,113.77,356.29,9.09,51.03,22.02,4.41,0.0
20230729:1410,61.32,299.81,7.24,43.67,22.95,4.97,0.0
20230729:1510,365.59,156.1,9.93,35.0,22.92,4.69,0.0
20230729:1610,0.0,30.74,0.65,25.77,22.65,4.14,0.0
20230729:1710,64.56,63.67,4.44,16.47,21.91,3.72,0.0
20230729:1810,0.0,40.76,0.91,7.48,20.68,3.38,0.0
20230729:1910,0.0,0.0,0.0,0.0,19.41,2.76,0.0
20230729:2010,0.0,0.0,0.0,0.0,18.38,2.41,0.0
20230729:2110,0.0,0.0,0.0,0.0,17.68,2.21,0.0
20230729:2210,0.0,0.0,0.0,0.0,16.81,2.07,0.0
20230729:2310,0.0,0.0,0.0,0.0,16.41,2.07,0.0
20230730:0010,0.0,0.0,0.0,0.0,16.25,2.34,0.0
20230730:0110,0.0,0.0,0.0,0.0,16.09,2.55,0.0
20230730:0210,0.0,0.0,0.0,0.0,16.01,2.62,0.0
20230730:0310,0.0,0.0,0.0,0.0,15.87,2.62,0.0
20230730:0410,0.0,17.83,0.4,3.79,15.66,2.62,0.0
20230730:0510,12.55,68.33,2.67,12.57,16.07,2.69,0.0
20230730:0610,135.36,112.34,5.7,21.79,17.03,3.79,0.0
20230730:0710,308.58,146.83,8.75,31.09,17.84,3.31,0.0
20230730:0810,412.21,208.79,10.98,40.05,18.71,3.52,0.0
20230730:0910,479.9,264.75,12.67,48.04,19.83,4.14,0.0
20230730:1010,37.83,332.9,7.53,54.1,20.55,5.1,0.0
20230730:1110,0.0,153.7,3.24,56.96,19.61,4.55,0.0
20230730:1210,0.0,226.94,4.78,55.73,19.14,4.28,0.0
20230730:1310,0.0,165.46,3.49,50.81,19.42,4.21,0.0
20230730:1410,27.47,275.04,6.21,43.47,19.83,4.55,0.0
20230730:1510,370.02,154.51,9.95,34.81,19.46,4.69,0.0
20230730:1610,218.38,107.12,7.26,25.59,19.16,4.76,0.0
20230730:1710,3.02,92.51,2.1,16.29,18.92,4.41,0.0
20230730:1810,0.0,40.76,0.91,7.29,18.53,3.79,0.0
20230730:1910,0.0,0.0,0.0,0.0,17.81,3.72,0.0
20230730:2010,0.0,0.0,0.0,0.0,17.22,3.45,0.0
20230730:2110,0.0,0.0,0.0,0.0,16.93,3.38,0.0
20230730:2210,0.0,0.0,0.0,0.0,16.59,2.97,0.0
20230730:2310,0.0,0.0,0.0,0.0,16.19,2.83,0.0
20230731:0010,0.0,0.0,0.0,0.0,16.12,2.97,0.0
20230731:0110,0.0,0.0,0.0,0.0,15.81,3.59,0.0
20230731:0210,0.0,0.0,0.0,0.0,15.2,4.21,0.0
20230731:0310,0.0,0.0,0.0,0.0,15.0,4.69,0.0
20230731:0410,0.0,2.55,0.06,3.6,14.95,4.69,0.0
20230731:0510,0.0,49.73,1.05,12.38,14.94,4.76,0.0
20230731:0610,4.67,119.4,2.63,21.61,15.19,5.03,0.0
20230731:0710,1.99,152.92,3.26,30.91,16.1,5.52,0.0
20230731:0810,0.0,113.02,2.38,39.86,17.11,6.28,0.0
20230731:0910,0.0,200.72,4.23,47.84,17.47,6.69,0.0
20230731:1010,5.93,270.04,5.77,53.88,17.51,6.41,0.0
20230731:1110,112.23,383.34,9.55,56.72,16.77,4.83,0.0
20230731:1210,0.0,227.84,4.8,55.49,17.94,6.0,0.0
20230731:1310,0.0,133.81,2.82,50.59,18.57,6.55,0.0
20230731:1410,0.0,112.11,2.36,43.26,18.82,5.66,0.0
20230731:1510,19.13,216.74,4.9,34.62,19.37,4.97,0.0
20230731:1610,4.97,141.18,3.09,25.4,19.71,4.76,0.0
20230731:1710,1.73,85.57,1.89,16.1,19.51,4.97,0.0
20230731:1810,0.0,23.78,0.53,7.09,18.96,4.62,0.0
20230731:1910,0.0,0.0,0.0,0.0,18.01,4.0,0.0
20230731:2010,0.0,0.0,0.0,0.0,17.61,4.0,0.0
20230731:2110,0.0,0.0,0.0,0.0,17.02,4.41,0.0
20230731:2210,0.0,0.0,0.0,0.0,16.64,4.83,0.0
20230731:2310,0.0,0.0,0.0,0.0,16.32,4.76,0.0
20230801:0010,0.0,0.0,0.0,0.0,16.08,4.41,0.0
20230801:0110,0.0,0.0,0.0,0.0,15.89,4.14,0.0
20230801:0210,0.0,0.0,0.0,0.0,15.83,4.28,0.0
20230801:0310,0.0,0.0,0.0,0.0,15.94,4.41,0.0
20230801:0410,0.0,2.55,0.06,3.41,16.02,4.28,0.0
20230801:0510,0.0,17.18,0.36,12.2,16.07,4.07,0.0
20230801:0610,0.0,28.93,0.61,21.43,16.14,3.79,0.0
20230801:0710,0.0,64.19,1.35,30.73,15.98,4.07,0.0
20230801:0810,0.0,146.47,3.09,39.67,16.01,3.72,0.0
20230801:0910,17.42,278.6,6.12,47.63,15.64,4.62,0.0
20230801:1010,424.66,334.61,12.9,53.65,17.34,4.69,0.0
20230801:1110,263.48,389.98,11.68,56.47,18.59,4.9,0.0
20230801:1210,0.0,124.77,2.63,55.24,19.48,5.45,0.0
20230801:1310,16.24,287.49,6.29,50.36,19.7,6.07,0.0
20230801:1410,60.85,296.29,7.15,43.05,19.21,6.48,0.0
20230801:1510,0.0,87.7,1.85,34.42,18.97,6.14,0.0
20230801:1610,228.71,98.2,7.26,25.2,18.63,5.38,0.0
20230801:1710,44.11,80.39,3.83,15.9,18.53,4.9,0.0
20230801:1810,0.0,34.82,0.78,6.89,17.86,4.28,0.0
20230801:1910,0.0,0.0,0.0,0.0,17.11,3.72,0.0
20230801:2010,0.0,0.0,0.0,0.0,16.39,3.66,0.0
20230801:2110,0.0,0.0,0.0,0.0,15.87,3.72,0.0
20230801:2210,0.0,0.0,0.0,0.0,15.68,3.79,0.0
20230801:2310,0.0,0.0,0.0,0.0,15.48,3.66,0.0
20230802:0010,0.0,0.0,0.0,0.0,15.14,3.79,0.0
20230802:0110,0.0,0.0,0.0,0.0,14.78,3.86,0.0
20230802:0210,0.0,0.0,0.0,0.0,14.73,3.59,0.0
20230802:0310,0.0,0.0,0.0,0.0,14.53,3.38,0.0
20230802:0410,0.0,3.4,0.08,3.21,14.23,3.24,0.0
20230802:0510,0.0,12.66,0.27,12.01,14.6,3.17,0.0
20230802:0610,0.0,82.28,1.73,21.25,15.34,3.1,0.0
20230802:0710,27.08,202.99,4.75,30.55,16.34,5.03,0.0
20230802:0810,3.33,196.48,4.19,39.48,17.15,5.1,0.0
20230802:0910,1.17,218.0,4.61,47.42,17.87,5.59,0.0
20230802:1010,0.0,121.15,2.55,53.41,18.46,5.66,0.0
20230802:1110,0.0,151.9,3.2,56.22,17.69,4.55,0.0
20230802:1210,0.0,108.5,2.29,54.99,16.85,4.83,0.0
20230802:1310,0.0,93.13,1.96,50.13,16.41,5.1,0.0
20230802:1410,0.0,104.88,2.21,42.84,16.3,4.97,0.0
20230802:1510,0.0,146.47,3.09,34.21,16.29,4.76,0.0
20230802:1610,0.0,103.98,2.19,25.0,16.87,4.41,0.0
20230802:1710,0.43,73.16,1.56,15.7,18.24,5.03,0.0
20230802:1810,0.0,33.12,0.74,6.68,18.76,5.17,0.0
20230802:1910,0.0,0.0,0.0,0.0,18.25,5.31,0.0
20230802:2010,0.0,0.0,0.0,0.0,17.02,5.1,0.0
20230802:2110,0.0,0.0,0.0,0.0,16.73,4.07,0.0
20230802:2210,0.0,0.0,0.0,0.0,16.09,3.86,0.0
20230802:2310,0.0,0.0,0.0,0.0,15.9,3.93,0.0
20230803:0010,0.0,0.0,0.0,0.0,15.75,4.69,0.0
20230803:0110,0.0,0.0,0.0,0.0,15.77,5.31,0.0
20230803:0210,0.0,0.0,0.0,0.0,15.52,5.72,0.0
20230803:0310,0.0,0.0,0.0,0.0,15.49,6.07,0.0
20230803:0410,0.0,11.89,0.27,3.02,15.39,6.41,0.0
20230803:0510,8.29,68.26,2.27,11.83,15.51,6.9,0.0
20230803:0610,4.75,118.52,2.61,21.06,15.61,6.97,0.0
20230803:0710,0.0,101.26,2.13,30.36,16.39,8.07,0.0
20230803:0810,0.0,165.46,3.49,39.28,16.68,6.83,0.0
20230803:0910,15.21,272.02,5.95,47.2,17.44,7.59,0.0
20230803:1010,9.58,279.52,6.02,53.17,18.3,7.45,0.0
20230803:1110,27.72,327.11,7.26,55.96,18.61,7.45,0.0
20230803:1210,416.17,346.15,12.96,54.74,18.77,7.38,0.0
20230803:1310,635.33,207.68,13.95,49.89,19.04,7.31,0.0
20230803:1410,15.6,252.03,5.55,42.61,19.42,7.31,0.0
20230803:1510,165.13,236.57,7.78,34.0,19.96,7.17,0.0
20230803:1610,5.88,142.13,3.13,24.8,19.21,7.1,0.0
20230803:1710,16.91,99.1,2.92,15.49,17.79,5.52,0.0
20230803:1810,0.0,34.82,0.78,6.47,17.44,5.31,0.0
20230803:1910,0.0,0.0,0.0,0.0,16.85,4.97,0.0
20230803:2010,0.0,0.0,0.0,0.0,16.36,4.55,0.0
20230803:2110,0.0,0.0,0.0,0.0,15.9,4.21,0.0
20230803:2210,0.0,0.0,0.0,0.0,15.79,3.93,0.0
20230803:2310,0.0,0.0,0.0,0.0,15.63,3.66,0.0
20230804:0010,0.0,0.0,0.0,0.0,15.45,3.45,0.0
20230804:0110,0.0,0.0,0.0,0.0,15.17,3.1,0.0
20230804:0210,0.0,0.0,0.0,0.0,14.95,2.76,0.0
20230804:0310,0.0,0.0,0.0,0.0,14.36,2.34,0.0
20230804:0410,0.0,1.7,0.04,2.82,14.22,2.14,0.0
20230804:0510,0.0,11.75,0.25,11.64,14.4,2.07,0.0
